column,dtype,non_null,missing,n_unique
schizophreniaandotherpsychoticdisorde,float64,560486,0,2
screeningandhistoryofmentalhealthan,float64,560486,0,2
septicemia,float64,560486,0,2
septicemiaexceptinlabor,float64,560486,0,2
sexualinfxs,float64,560486,0,2
shock,float64,560486,0,2
sicklecell,float64,560486,0,2
skininfectn,float64,560486,0,2
skinmelanom,float64,560486,0,2
sle,float64,560486,0,2
socialadmin,float64,560486,0,2
spincorinj,float64,560486,0,2
spontabortn,float64,560486,0,2
sprain,float64,560486,0,2
stomchcancr,float64,560486,0,2
substancerelateddisorders,float64,560486,0,2
suicideandintentionalselfinflictedin,float64,560486,0,2
superficinj,float64,560486,0,2
syncope,float64,560486,0,2
teethdx,float64,560486,0,2
testiscancr,float64,560486,0,2
thyroidcncr,float64,560486,0,2
thyroiddsor,float64,560486,0,2
tia,float64,560486,0,2
tonsillitis,float64,560486,0,2
tuberculosis,float64,560486,0,2
ulceratcol,float64,560486,0,2
ulcerskin,float64,560486,0,2
umbilcord,float64,560486,0,2
unclassified,float64,560486,0,2
urinstone,float64,560486,0,2
urinyorgca,float64,560486,0,2
uteruscancr,float64,560486,0,2
uti,float64,560486,0,2
varicosevn,float64,560486,0,2
viralinfect,float64,560486,0,2
whtblooddx,float64,560486,0,2
n_edvisits,int32,560486,0,373
n_admissions,int32,560486,0,51
absolutelymphocytecount_last,float64,217926,342560,271
acetonebld_last,float64,396,560090,75
alanineaminotransferase(alt)_last,float64,125654,434832,594
albumin_last,float64,111534,448952,56
alkphos_last,float64,126731,433755,751
anc(absneutrophilcount)_last,float64,220208,340278,457
aniongap_last,float64,211501,348985,60
aspartateaminotransferase(ast)_last,float64,122959,437527,648
"b-typenatriureticpeptide,pro(probnp)_last",float64,10909,549577,3923
baseexcess(poc)_last,float64,41149,519337,61
"baseexcess,venous(poc)_last",float64,15734,544752,61
basos_last,float64,220222,340264,53
basosabs_last,float64,46571,513915,128
"benzodiazepinesscreen,urine,noconf._last",float64,1,560485,1
bilirubindirect_last,float64,55293,505193,588
